time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/24/23:25:49.757564,131746,1711337149,733807156,/vicon/world,vicon/slot_car/slot_car,0.48192390118462675,1.1555250141339122,0.03133058678107775,0.017707610525410512,0.03295094275678287,0.7186850717459908,0.6943287719448039
2024/03/24/23:25:49.768487,131747,1711337149,744754281,/vicon/world,vicon/slot_car/slot_car,0.48194008894186363,1.1555028918584485,0.03133844370339663,0.017738680230288434,0.032874666477569786,0.7186887085788536,0.6943278301270487
2024/03/24/23:25:49.773596,131748,1711337149,750060781,/vicon/world,vicon/slot_car/slot_car,0.48193044465876717,1.1554757307797376,0.03133811439784443,0.01770118062229081,0.03285263216621437,0.7186571489190773,0.6943624954386806
2024/03/24/23:25:49.784847,131749,1711337149,761000581,/vicon/world,vicon/slot_car/slot_car,0.48191654816010837,1.155456682077653,0.031346710625743686,0.017714023978494576,0.03268124526503424,0.7187100920320122,0.6943154565280488
2024/03/24/23:25:49.790500,131750,1711337149,766655822,/vicon/world,vicon/slot_car/slot_car,0.48191602190560406,1.15542576092631,0.03136304791850276,0.017555729547990406,0.03249610584745198,0.718700558699844,0.6943380346699446
2024/03/24/23:25:49.807089,131751,1711337149,775104422,/vicon/world,vicon/slot_car/slot_car,0.48190014070226367,1.1554313085080323,0.031443774891644044,0.015164168187128827,0.03290761493369369,0.7185332590008372,0.6945481211494305
2024/03/24/23:25:49.807249,131752,1711337149,783448822,/vicon/world,vicon/slot_car/slot_car,0.481905361772897,1.1554067378541213,0.03141221854445792,0.015225508407637176,0.03305921287580951,0.7184508565708516,0.6946248188989294
2024/03/24/23:25:49.820812,131753,1711337149,796721517,/vicon/world,vicon/slot_car/slot_car,0.48189728526698883,1.1553948087787818,0.031413727445496704,0.015154837941256702,0.03303012870995966,0.7184351634890123,0.6946439788459223
2024/03/24/23:25:49.823715,131754,1711337149,799640317,/vicon/world,vicon/slot_car/slot_car,0.48188811022792494,1.1553702294679122,0.031451463528860434,0.015124812431757749,0.032859591504240754,0.7184873701849664,0.6945987231342782
2024/03/24/23:25:49.849043,131755,1711337149,808116888,/vicon/world,vicon/slot_car/slot_car,0.481891994882624,1.1553567156694882,0.03147103577187724,0.015074843311735238,0.03264246286097951,0.7185039028799681,0.6945929457342261
2024/03/24/23:25:49.849236,131756,1711337149,816467488,/vicon/world,vicon/slot_car/slot_car,0.4818834377547718,1.15534404347763,0.03144522793697079,0.015076351674975617,0.03275795199564397,0.7184618692124282,0.6946309543124373
2024/03/24/23:25:49.849542,131757,1711337149,824890088,/vicon/world,vicon/slot_car/slot_car,0.4818804979784148,1.155333166640603,0.03142561850774713,0.015125087012184828,0.032765157542112365,0.7184495330149495,0.6946423142198547
2024/03/24/23:25:49.853449,131758,1711337149,833109780,/vicon/world,vicon/slot_car/slot_car,0.48189059951630653,1.155319831390686,0.03143315610156156,0.015068717838202142,0.03268284039595093,0.7184209518010325,0.6946769765147425
2024/03/24/23:25:49.861649,131759,1711337149,841512873,/vicon/world,vicon/slot_car/slot_car,0.4818986098876643,1.1553075169999578,0.03144051919344469,0.015017834497426009,0.03250318675944363,0.7184317547918939,0.6946753351056368
2024/03/24/23:25:49.871238,131760,1711337149,851023773,/vicon/world,vicon/slot_car/slot_car,0.4818806907818277,1.1553023274387402,0.031444559134444106,0.01512790175550698,0.03260970712143735,0.7184339224432181,0.6946657128956214
2024/03/24/23:25:49.881077,131761,1711337149,861110000,/vicon/world,vicon/slot_car/slot_car,0.48187644682268616,1.155287865118546,0.031434430309574324,0.015083356671383693,0.03262514798582093,0.7184233587974113,0.6946768814381786
2024/03/24/23:25:49.890589,131762,1711337149,866827700,/vicon/world,vicon/slot_car/slot_car,0.481892816228296,1.1552810167390015,0.03144463038148513,0.015076918708684824,0.03243684117351501,0.7184461256944804,0.6946622937309371
2024/03/24/23:25:49.898552,131763,1711337149,875030500,/vicon/world,vicon/slot_car/slot_car,0.4819055848412507,1.1552648594448687,0.03143097378872339,0.01512830100301433,0.03233646760617656,0.7184376567042486,0.6946746150542894
2024/03/24/23:25:49.907321,131764,1711337149,883754100,/vicon/world,vicon/slot_car/slot_car,0.4818870829377799,1.1552583843471003,0.03142055067618621,0.015111465508458438,0.03233750907532897,0.7184340077310014,0.6946787067793003
2024/03/24/23:25:49.924011,131765,1711337149,891950561,/vicon/world,vicon/slot_car/slot_car,0.4818703255751613,1.1552508482095742,0.03142309543585311,0.015111073252898545,0.032294999505243276,0.7184625048551622,0.6946512201021084
2024/03/24/23:25:49.924192,131766,1711337149,900296260,/vicon/world,vicon/slot_car/slot_car,0.4818699380434129,1.1552461750563972,0.03144854219785325,0.015191733451059333,0.032144977218311124,0.7184842108810094,0.6946339686403764
