time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/24/22:37:23.289531,37233,1711334243,266416918,/vicon/world,vicon/slot_car/slot_car,0.48571061052809433,1.0901609388787254,0.03164484840840492,0.024930013018682688,0.03407821620232132,0.6279748805211681,0.7770873303984442
2024/03/24/22:37:23.296624,37234,1711334243,273228818,/vicon/world,vicon/slot_car/slot_car,0.48572390107165514,1.090161816463436,0.031669924731707655,0.024756172305588003,0.03394527262814355,0.6280025289017066,0.7770763631021331
2024/03/24/22:37:23.305647,37235,1711334243,282359132,/vicon/world,vicon/slot_car/slot_car,0.4857324763355415,1.0901569853258248,0.03168126257738834,0.02469605462504105,0.033960485771225984,0.6280846070376965,0.7770112719223845
2024/03/24/22:37:23.313652,37236,1711334243,290179781,/vicon/world,vicon/slot_car/slot_car,0.4857319225643658,1.0901569599572813,0.03165320395389451,0.024806769497820902,0.0340268466575629,0.6281177903924202,0.7769780172477007
2024/03/24/22:37:23.344999,37237,1711334243,312929280,/vicon/world,vicon/slot_car/slot_car,0.48572737833468,1.0901523864752147,0.03163569523300534,0.024925058753009755,0.034013986736545036,0.6281693843474191,0.7769330825245052
2024/03/24/22:37:23.345108,37238,1711334243,321134580,/vicon/world,vicon/slot_car/slot_car,0.48573752571039774,1.0901499565096793,0.031650798652596984,0.024926429526609478,0.03392922863284558,0.6282372942651777,0.7768818331315281
2024/03/24/22:37:23.345172,37239,1711334243,321577980,/vicon/world,vicon/slot_car/slot_car,0.48574662250948186,1.0901408793372727,0.03165302669916835,0.024986702238581904,0.033909422861710635,0.6283654618886418,0.7767770993392507
2024/03/24/22:37:23.355554,37240,1711334243,323798024,/vicon/world,vicon/slot_car/slot_car,0.4857499512588504,1.0901355501731995,0.03163580924274443,0.024940439906546867,0.03378912093997395,0.6284488496317302,0.7767163659663202
2024/03/24/22:37:23.364783,37241,1711334243,333141624,/vicon/world,vicon/slot_car/slot_car,0.4857466179137025,1.0901245197599818,0.03164381868698212,0.025075073603189113,0.03377885113377511,0.6285229160979405,0.7766525438312928
2024/03/24/22:37:23.364915,37242,1711334243,341380224,/vicon/world,vicon/slot_car/slot_car,0.48576040754961697,1.0901155529514042,0.03166341735079488,0.02506024087151248,0.03373437060649069,0.6286330091341753,0.7765658480735279
2024/03/24/22:37:23.371642,37243,1711334243,348259488,/vicon/world,vicon/slot_car/slot_car,0.48576047899178937,1.0901054911777701,0.031667151979831665,0.025167535913706955,0.03373624952707687,0.628662441700666,0.7765384697481741
2024/03/24/22:37:23.382418,37244,1711334243,359274689,/vicon/world,vicon/slot_car/slot_car,0.48575366202460685,1.090103649830595,0.03163206124483531,0.02520531615068789,0.03374070502565413,0.6287099627570943,0.7764985766838782
2024/03/24/22:37:23.388077,37245,1711334243,364912002,/vicon/world,vicon/slot_car/slot_car,0.4857440853281326,1.0900895016631929,0.0316212694659041,0.02532402643133991,0.033677738439159104,0.6287709156178474,0.7764480918207103
2024/03/24/22:37:23.416070,37246,1711334243,375627602,/vicon/world,vicon/slot_car/slot_car,0.4857593808775627,1.0900705588958564,0.0316348965243697,0.02524161840836252,0.03349697869194403,0.6288692065644044,0.7763789887379067
2024/03/24/22:37:23.416101,37247,1711334243,383841202,/vicon/world,vicon/slot_car/slot_car,0.48577206712759347,1.0900470270709888,0.03164603914738346,0.025217734998518645,0.03334982544261022,0.6289484843070459,0.77632187852228
2024/03/24/22:37:23.416119,37248,1711334243,392007002,/vicon/world,vicon/slot_car/slot_car,0.48577097242750317,1.0900398032795091,0.03162127915610548,0.025355045575993183,0.0333971575085039,0.6290148563989901,0.7762615937707786
2024/03/24/22:37:23.418318,37249,1711334243,398706202,/vicon/world,vicon/slot_car/slot_car,0.4857527492897402,1.0900306074904602,0.03161674634021349,0.025549777822529686,0.03339952276876323,0.6290204850150163,0.7762505459988496
2024/03/24/22:37:23.426564,37250,1711334243,406904225,/vicon/world,vicon/slot_car/slot_car,0.48575985030302316,1.0900191740002696,0.03162740781271663,0.025487014604007954,0.03319293960552793,0.6291123502486997,0.7761870210274558
2024/03/24/22:37:23.449213,37251,1711334243,417596125,/vicon/world,vicon/slot_car/slot_car,0.4857483789261819,1.0899951684916163,0.03164788744649809,0.025278796400175933,0.03295977028264709,0.6291806160115497,0.7761484319579601
