time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/04/10/16:16:25.946246,1453,1712780185,923524999,/vicon/world,vicon/slot_car/slot_car,0.43189675753338475,1.0579123860979358,0.04235232823924179,-0.012101018051446394,0.02588932595609372,0.7230100490867669,0.6902461713643971
2024/04/10/16:16:25.954257,1454,1712780185,931852301,/vicon/world,vicon/slot_car/slot_car,0.43185201414773017,1.0579302534773825,0.04225815162420548,-0.011930011336122303,0.026727994552209162,0.723097449360336,0.6901256174533107
2024/04/10/16:16:25.962633,1455,1712780185,940236701,/vicon/world,vicon/slot_car/slot_car,0.43191158100579047,1.057917603050125,0.04237028873684448,-0.011514395128893826,0.02636796778761423,0.7230185167273585,0.6902292180492923
2024/04/10/16:16:25.973451,1456,1712780185,951082101,/vicon/world,vicon/slot_car/slot_car,0.431910631366989,1.0579158119632655,0.042374337852422984,-0.01193247992355408,0.025258236169496382,0.7230136886490708,0.6902686748321587
2024/04/10/16:16:25.979632,1457,1712780185,956981020,/vicon/world,vicon/slot_car/slot_car,0.4318730607809551,1.0579320816500508,0.04237772262935889,-0.01188460795552658,0.025703281825944998,0.7228321201400936,0.6904432080127205
2024/04/10/16:16:25.987491,1458,1712780185,964968830,/vicon/world,vicon/slot_car/slot_car,0.431893396245082,1.05794557932278,0.0424091291051009,-0.011702207725147327,0.025980947689224935,0.7231805090125087,0.6900710108937603
2024/04/10/16:16:25.996233,1459,1712780185,973425830,/vicon/world,vicon/slot_car/slot_car,0.43193303000691285,1.0579374706739169,0.042374838374285635,-0.012651041665241359,0.02634773099884966,0.7232992901623524,0.6899158536130576
2024/04/10/16:16:26.005330,1460,1712780185,982937943,/vicon/world,vicon/slot_car/slot_car,0.4319216048303813,1.0579377922298,0.04233379160847393,-0.013273186376207932,0.025791166563099027,0.723137476137614,0.6900947970069464
2024/04/10/16:16:26.014469,1461,1712780185,991918943,/vicon/world,vicon/slot_car/slot_car,0.43187121801475525,1.0579629081738706,0.04232773558221428,-0.012520984502666295,0.026419464441647472,0.7230920370761067,0.6901326993867388
2024/04/10/16:16:26.021465,1462,1712780185,998766645,/vicon/world,vicon/slot_car/slot_car,0.43187958351612676,1.0579779808999403,0.04237998408948842,-0.01259104427221718,0.026694172232320186,0.7235302010014117,0.6896614640617692
2024/04/10/16:16:26.030212,1463,1712780186,7759288,/vicon/world,vicon/slot_car/slot_car,0.43189893999401346,1.0579700489217025,0.042379107810564136,-0.01153222706504389,0.025775689932288338,0.7230087106037273,0.6902615634225698
2024/04/10/16:16:26.038121,1464,1712780186,15027388,/vicon/world,vicon/slot_car/slot_car,0.43194537790536264,1.057963354489447,0.04243498950795213,-0.013013524047834851,0.02554615597587157,0.7230505703379119,0.690199909331154
2024/04/10/16:16:26.045840,1465,1712780186,23538322,/vicon/world,vicon/slot_car/slot_car,0.43189716243101994,1.0579860465674513,0.042383893257560736,-0.011883673163843941,0.0261106647734649,0.7230815080657607,0.6901667510033846
2024/04/10/16:16:26.054326,1466,1712780186,31902222,/vicon/world,vicon/slot_car/slot_car,0.4318643964213834,1.058000235656607,0.04232795723956556,-0.012238578514531081,0.026365339738382565,0.7233838093361981,0.6898340020951956
2024/04/10/16:16:26.062425,1467,1712780186,40865747,/vicon/world,vicon/slot_car/slot_car,0.43191369422854947,1.0579861986279024,0.04233182573402868,-0.012493193038390938,0.026670499415215272,0.7233290518213921,0.6898751244825505
2024/04/10/16:16:26.081584,1468,1712780186,59870247,/vicon/world,vicon/slot_car/slot_car,0.4319318396828415,1.0579801298135838,0.042325837523813394,-0.012569592915133442,0.0262502119494917,0.7232476618414136,0.6899751816895174
2024/04/10/16:16:26.081916,1469,1712780186,60249747,/vicon/world,vicon/slot_car/slot_car,0.4318817274725318,1.057991781763618,0.042353432634759006,-0.0122425538792148,0.02602957247074672,0.7229563574831022,0.6902946373877388
2024/04/10/16:16:26.088045,1470,1712780186,66385191,/vicon/world,vicon/slot_car/slot_car,0.43187353881818624,1.057997029239527,0.042407227258197185,-0.012177865985577182,0.025952699521052915,0.7231219926697817,0.6901251630573192
2024/04/10/16:16:26.096242,1471,1712780186,74751107,/vicon/world,vicon/slot_car/slot_car,0.43192526932811026,1.0579805913709208,0.04243743207272522,-0.011149632464393324,0.02573393883858699,0.7231289868762864,0.6901434042480131
2024/04/10/16:16:26.104848,1472,1712780186,83019707,/vicon/world,vicon/slot_car/slot_car,0.43192462787674424,1.0579653280444006,0.04239960430374331,-0.012341006290298755,0.02586075342922062,0.7231273419562132,0.6901201115104223
2024/04/10/16:16:26.113364,1473,1712780186,91733349,/vicon/world,vicon/slot_car/slot_car,0.4318635099992314,1.0579861819996674,0.042290209079725305,-0.01253646946066614,0.02663852803836432,0.7232107722121898,0.6899995686329516
2024/04/10/16:16:26.122878,1474,1712780186,101207949,/vicon/world,vicon/slot_car/slot_car,0.43187605381958205,1.0579725050871154,0.04235377779706187,-0.012006002269522907,0.026704204420647287,0.7230982247012396,0.6901244082117949
2024/04/10/16:16:26.133741,1475,1712780186,112214299,/vicon/world,vicon/slot_car/slot_car,0.4319267028368955,1.057951843711127,0.042360539032441274,-0.011921177332812793,0.025898116178097872,0.7231338088623488,0.6901193140245078
2024/04/10/16:16:26.137819,1476,1712780186,116067282,/vicon/world,vicon/slot_car/slot_car,0.4319396389007316,1.0579393762254377,0.04239751726960329,-0.012150268830872661,0.025645466954600096,0.7229836218882036,0.6902820897817304
2024/04/10/16:16:26.146026,1477,1712780186,124506582,/vicon/world,vicon/slot_car/slot_car,0.43192690650674664,1.0579566160351102,0.042478964689591836,-0.012114301489359014,0.02598967001905157,0.7232580935535694,0.6899822540188856
2024/04/10/16:16:26.154700,1478,1712780186,132675359,/vicon/world,vicon/slot_car/slot_car,0.4318787959542091,1.057955998689159,0.042448847925955074,-0.011960105770800172,0.026198818058950597,0.7232027911920027,0.690034999557531
