time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/04/11/12:37:43.246205,1533,1712853463,222923945,/vicon/world,vicon/slot_car/slot_car,0.4898999282646683,1.027099562817631,0.04200937742089691,-0.014195931286303245,0.037114960944757656,0.7011040599078632,0.7119508777926291
2024/04/11/12:37:43.254445,1534,1712853463,231455818,/vicon/world,vicon/slot_car/slot_car,0.489910782521426,1.0271133699073154,0.04204597110009161,-0.015897531319149432,0.03769040754265177,0.7012490973179083,0.7117418107628949
2024/04/11/12:37:43.265079,1535,1712853463,241485205,/vicon/world,vicon/slot_car/slot_car,0.48990330623168915,1.0271126258310526,0.04202893629509553,-0.015655044749454287,0.037697920836562565,0.7012095139928878,0.711785785067636
2024/04/11/12:37:43.274750,1536,1712853463,251550305,/vicon/world,vicon/slot_car/slot_car,0.48988421974202273,1.0270959091225504,0.04198591977336118,-0.014113913461983532,0.03715315712527219,0.7010985466535092,0.7119559454367592
2024/04/11/12:37:43.279760,1537,1712853463,256150279,/vicon/world,vicon/slot_car/slot_car,0.48987946835681095,1.0270995153805411,0.04199759754054983,-0.014167237460884762,0.037080652213070685,0.7011375309644158,0.7119202745303038
2024/04/11/12:37:43.287990,1538,1712853463,264392765,/vicon/world,vicon/slot_car/slot_car,0.48988758201953503,1.0270985220416586,0.04200036830785379,-0.014206408634069792,0.037124833207765946,0.7011134277300394,0.7119409288484911
2024/04/11/12:37:43.296058,1539,1712853463,272843165,/vicon/world,vicon/slot_car/slot_car,0.48989554158361454,1.0271138015883645,0.04205758648688341,-0.015868681691376552,0.03770652466692576,0.7012280660723146,0.7117623214889939
2024/04/11/12:37:43.304820,1540,1712853463,281106250,/vicon/world,vicon/slot_car/slot_car,0.48987958502541024,1.0270974276748368,0.04201345043456652,-0.01414407367121363,0.037145492672945035,0.7010894893313363,0.7119646659091964
2024/04/11/12:37:43.312797,1541,1712853463,289622604,/vicon/world,vicon/slot_car/slot_car,0.48988589341744215,1.027103633881709,0.04201103977275659,-0.01424731145075962,0.03705923011745795,0.701143415824604,0.7119139962280083
2024/04/11/12:37:43.321114,1542,1712853463,297879504,/vicon/world,vicon/slot_car/slot_car,0.48989953002116465,1.0271056494392605,0.041988640912666464,-0.014183307297542963,0.037095861293195906,0.7011108116484038,0.7119454759029905
2024/04/11/12:37:43.329390,1543,1712853463,306171066,/vicon/world,vicon/slot_car/slot_car,0.4899083871401833,1.0271181458963308,0.042017357143792504,-0.015594354859783414,0.03766277837223752,0.70122163832128,0.7117770333270179
2024/04/11/12:37:43.342205,1544,1712853463,319084566,/vicon/world,vicon/slot_car/slot_car,0.4898992359338438,1.0271163921791469,0.042028767745314215,-0.01565148166959029,0.037703479922240164,0.7012249367200337,0.7117703750826417
2024/04/11/12:37:43.346708,1545,1712853463,323984766,/vicon/world,vicon/slot_car/slot_car,0.4899018499538886,1.0271195354051175,0.042056416813833965,-0.01593782884182164,0.03764217815948606,0.7012496993906625,0.711742868696079
2024/04/11/12:37:43.354489,1546,1712853463,331339226,/vicon/world,vicon/slot_car/slot_car,0.4899063370623486,1.027120214397957,0.04205627750569483,-0.01570528024431379,0.03760799454544502,0.7012555391852673,0.7117440914266147
2024/04/11/12:37:43.362747,1547,1712853463,339825326,/vicon/world,vicon/slot_car/slot_car,0.4898951874485582,1.0271064592369534,0.042006941438788775,-0.01413829636627186,0.037120121222859646,0.701080776729666,0.7119746833114138
2024/04/11/12:37:43.371223,1548,1712853463,348015921,/vicon/world,vicon/slot_car/slot_car,0.48988631134585,1.0271207621022937,0.042066173245850984,-0.015815696550698477,0.0376382561525573,0.7012331087127277,0.7117621461285326
2024/04/11/12:37:43.379413,1549,1712853463,356340100,/vicon/world,vicon/slot_car/slot_car,0.4898852703170389,1.0271092257285845,0.042013461617699505,-0.014179619197086787,0.03703326590764806,0.7011143360177062,0.7119453374003443
2024/04/11/12:37:43.387846,1550,1712853463,364530100,/vicon/world,vicon/slot_car/slot_car,0.4898941219874958,1.0271079808927404,0.042001280810290156,-0.014232117292084028,0.03711062200467967,0.701113784978734,0.7119408044806842
2024/04/11/12:37:43.396319,1551,1712853463,372843693,/vicon/world,vicon/slot_car/slot_car,0.4898878741264941,1.027107052534364,0.041993345852653456,-0.014120425102759309,0.03719086538821426,0.7010853717824044,0.7119668212770319
2024/04/11/12:37:43.405092,1552,1712853463,381849493,/vicon/world,vicon/slot_car/slot_car,0.4898811089992704,1.0271112438297252,0.041995500890452106,-0.014175070118488614,0.03716175603571659,0.701108484668178,0.7119444950287691
2024/04/11/12:37:43.414393,1553,1712853463,391121978,/vicon/world,vicon/slot_car/slot_car,0.48988647212262254,1.0271151113842891,0.04199756429919433,-0.01417816390272996,0.037055428753293825,0.7011382343954514,0.7119206775597166
2024/04/11/12:37:43.421576,1554,1712853463,398114778,/vicon/world,vicon/slot_car/slot_car,0.4898976173118529,1.0271294489260192,0.042057592982560246,-0.01596236368373985,0.0376472452231459,0.7012121987156756,0.7117789967715149
2024/04/11/12:37:43.429682,1555,1712853463,406616678,/vicon/world,vicon/slot_car/slot_car,0.48989192909916884,1.0271087086518744,0.041997252677122045,-0.014085636770816784,0.037153262953592975,0.7010686222245559,0.7119859667302612
2024/04/11/12:37:43.441658,1556,1712853463,417940578,/vicon/world,vicon/slot_car/slot_car,0.48989558567916386,1.0271167845877676,0.04205447808421408,-0.0157530902693014,0.03770054864203677,0.7012121470069373,0.7117808888056619
2024/04/11/12:37:43.446146,1557,1712853463,422881377,/vicon/world,vicon/slot_car/slot_car,0.489908692216441,1.0271173337177522,0.042046670352120036,-0.015731292652961623,0.037554152577858456,0.7012369907112701,0.7117646344922091
2024/04/11/12:37:43.454066,1558,1712853463,431097777,/vicon/world,vicon/slot_car/slot_car,0.489906147119511,1.0270995833488066,0.041997533937345725,-0.014226534003102864,0.03709203052765118,0.7011321850999759,0.7119237641900483
2024/04/11/12:37:43.465824,1559,1712853463,442517459,/vicon/world,vicon/slot_car/slot_car,0.48990106293455543,1.0271096275263816,0.04205337464126373,-0.0157419989566765,0.03773401468810326,0.701233507283403,0.711758317034219
2024/04/11/12:37:43.470780,1560,1712853463,447125165,/vicon/world,vicon/slot_car/slot_car,0.48988838026831505,1.0270966628866,0.04200132081771356,-0.014166353123146935,0.037129486109370106,0.7011003601770032,0.7119543529329116
2024/04/11/12:37:43.481593,1561,1712853463,458124729,/vicon/world,vicon/slot_car/slot_car,0.4898924437999963,1.0271012537674458,0.041996450397176595,-0.014205348273536715,0.03705619885533716,0.7011185943920721,0.7119394375959983
2024/04/11/12:37:43.487576,1562,1712853463,464351424,/vicon/world,vicon/slot_car/slot_car,0.48989618600858376,1.0271008561810069,0.04198896624746951,-0.014169978336030405,0.03711509188374339,0.7011154648407512,0.7119401566350609
2024/04/11/12:37:43.496023,1563,1712853463,472403624,/vicon/world,vicon/slot_car/slot_car,0.4898885322298046,1.0270985953736842,0.04199134711431687,-0.014109233219647587,0.03718340439380816,0.7010885772291648,0.7119642763892199
2024/04/11/12:37:43.504140,1564,1712853463,480803726,/vicon/world,vicon/slot_car/slot_car,0.4898826822214739,1.027110351294499,0.04205568265321399,-0.01585898919054195,0.03766938372438099,0.7012258916029845,0.7117666464068676
2024/04/11/12:37:43.512680,1565,1712853463,489024126,/vicon/world,vicon/slot_car/slot_car,0.4898935324923813,1.027114693259092,0.042049997924501044,-0.01579332332298463,0.0376178264967817,0.7012279090947712,0.7117688456055442
2024/04/11/12:37:43.520887,1566,1712853463,497465015,/vicon/world,vicon/slot_car/slot_car,0.48989871708877375,1.0271004294114376,0.041988491900656205,-0.014178264150867868,0.037105605093415386,0.7010992150722478,0.7119564885029125
2024/04/11/12:37:43.529670,1567,1712853463,506138415,/vicon/world,vicon/slot_car/slot_car,0.4898918338563736,1.0270969834501245,0.04199543791558914,-0.014113079937624335,0.03723675586079489,0.7010835453466999,0.7119663667840915
2024/04/11/12:37:43.538219,1568,1712853463,514559977,/vicon/world,vicon/slot_car/slot_car,0.48988491761531866,1.0271102339811475,0.042058010862594815,-0.015733161001956524,0.03769104426070931,0.701227982951484,0.7117662318157676
2024/04/11/12:37:43.546194,1569,1712853463,522702784,/vicon/world,vicon/slot_car/slot_car,0.4898984248445267,1.0271140035058424,0.04206147867726978,-0.0159713921329328,0.03767119382074032,0.701242184661658,0.7117479850624107
2024/04/11/12:37:43.554262,1570,1712853463,531122384,/vicon/world,vicon/slot_car/slot_car,0.48990435445885633,1.0271032634228876,0.04198704808688901,-0.014262410523752088,0.0370918096715268,0.7010967336226294,0.711957970251772
2024/04/11/12:37:43.562814,1571,1712853463,539423040,/vicon/world,vicon/slot_car/slot_car,0.4898985140152389,1.0271030191017383,0.04197906639604248,-0.014157511214190935,0.03717900431063961,0.7011016116299627,0.7119507122579193
2024/04/11/12:37:43.572004,1572,1712853463,548814640,/vicon/world,vicon/slot_car/slot_car,0.48989230704125025,1.02711603968506,0.042047960966743646,-0.01572332466557287,0.037655969207358767,0.7012190083870297,0.7117771472316502
2024/04/11/12:37:43.582676,1573,1712853463,559162210,/vicon/world,vicon/slot_car/slot_car,0.4898970634451982,1.027109090171619,0.04199631604447293,-0.014179875278456582,0.03702245574312661,0.7011089631543963,0.711951185610645
2024/04/11/12:37:43.587409,1574,1712853463,564114349,/vicon/world,vicon/slot_car/slot_car,0.48990072712918303,1.0271096637851682,0.04199099486206449,-0.014160456350483984,0.03709676222379483,0.7011032487292915,0.7119533315672387
2024/04/11/12:37:43.595927,1575,1712853463,572468192,/vicon/world,vicon/slot_car/slot_car,0.4898939607308425,1.027125170764345,0.042051597381352245,-0.015838570320656283,0.03770399139708063,0.7012200164778296,0.7117710567406902
2024/04/11/12:37:43.606066,1576,1712853463,582342692,/vicon/world,vicon/slot_car/slot_car,0.48988489677598984,1.0271249716231594,0.04206912671757517,-0.015797899525756918,0.037642469378386695,0.701224674100288,0.711770628294408
2024/04/11/12:37:43.612416,1577,1712853463,589328733,/vicon/world,vicon/slot_car/slot_car,0.4898882935728914,1.0271130151968233,0.04200782009064362,-0.014219611952164302,0.03711019958540081,0.7011185796156288,0.7119363546275922
2024/04/11/12:37:43.621239,1578,1712853463,598123773,/vicon/world,vicon/slot_car/slot_car,0.4899009187543697,1.0271152947431053,0.041984257565756425,-0.014144940829697156,0.037126329763819,0.7011109872524474,0.711944478060678
2024/04/11/12:37:43.633765,1579,1712853463,610522073,/vicon/world,vicon/slot_car/slot_car,0.48989360054285885,1.02711247489022,0.04197503099275615,-0.014110994100367815,0.03716236964178201,0.70107879880977,0.7119749686523799
2024/04/11/12:37:43.637785,1580,1712853463,615082266,/vicon/world,vicon/slot_car/slot_car,0.48988609206840467,1.0271117355506625,0.04199056252735925,-0.014165379540817041,0.03713215926378233,0.7011058068441319,0.7119488692176655
2024/04/11/12:37:43.646393,1581,1712853463,623522881,/vicon/world,vicon/slot_car/slot_car,0.4898994870144765,1.0271236289224548,0.04205432645917696,-0.015910914425124996,0.03764688042539995,0.7012462669775029,0.7117466039585358
2024/04/11/12:37:43.654663,1582,1712853463,631732981,/vicon/world,vicon/slot_car/slot_car,0.4899050463451144,1.0271076874543272,0.04198616281352486,-0.014113377295929057,0.03715378872380183,0.7010868392336927,0.7119674517968361
2024/04/11/12:37:43.662607,1583,1712853463,639676001,/vicon/world,vicon/slot_car/slot_car,0.48990268647149315,1.0271022206740816,0.0419794983835224,-0.014166160675270574,0.037161845758720946,0.7010709553985424,0.7119816237854055
2024/04/11/12:37:43.674412,1584,1712853463,651427101,/vicon/world,vicon/slot_car/slot_car,0.48989303195597267,1.0271181988229166,0.04205418046724456,-0.015855028265970177,0.037651416932521914,0.7012392961527532,0.7117544790254924
2024/04/11/12:37:43.682116,1585,1712853463,659232933,/vicon/world,vicon/slot_car/slot_car,0.4898880410374392,1.027100574920712,0.042017866428139275,-0.014167820408367886,0.0371070995901488,0.7011418121045898,0.7119146685829525
2024/04/11/12:37:43.687801,1586,1712853463,665290601,/vicon/world,vicon/slot_car/slot_car,0.48989920403778303,1.0271173339362385,0.042059461160539595,-0.0157545447039357,0.037633930289815015,0.7012318527601809,0.7117649684317409
2024/04/11/12:37:43.695997,1587,1712853463,673137501,/vicon/world,vicon/slot_car/slot_car,0.4898984199079562,1.027109653941516,0.04204893236735284,-0.015920373213472887,0.037768495321346934,0.7012119375716144,0.7117737710009884
2024/04/11/12:37:43.704789,1588,1712853463,681757659,/vicon/world,vicon/slot_car/slot_car,0.4898941558183087,1.0271151475096774,0.0420444354503326,-0.015773968773195136,0.037711764973874,0.7012541511301893,0.7117384493016906
2024/04/11/12:37:43.712499,1589,1712853463,690139259,/vicon/world,vicon/slot_car/slot_car,0.48989373996531177,1.027097266021214,0.041990292794526936,-0.014181760664886876,0.037044653667768664,0.7011208195189927,0.7119383173675194
2024/04/11/12:37:43.720774,1590,1712853463,698358841,/vicon/world,vicon/slot_car/slot_car,0.48990188109190064,1.0270972056108283,0.041975387722065556,-0.014149826171909472,0.037130402237409176,0.7010996043495558,0.7119553781171186
2024/04/11/12:37:43.729747,1591,1712853463,706847841,/vicon/world,vicon/slot_car/slot_car,0.48989410421030516,1.0270908813967232,0.04196995172952377,-0.014172057436717692,0.037134460567687114,0.701087925844702,0.7119662245227163
2024/04/11/12:37:43.738262,1592,1712853463,715520180,/vicon/world,vicon/slot_car/slot_car,0.489883160760343,1.027094407952623,0.04199135139863733,-0.014212462180005542,0.03709502604655583,0.7011161043974363,0.7119397257605102
2024/04/11/12:37:43.745817,1593,1712853463,723219080,/vicon/world,vicon/slot_car/slot_car,0.48989183425205685,1.0271104075700956,0.04206409661780415,-0.015785731163254345,0.037616301924318626,0.7012726514534938,0.7117250120970645
2024/04/11/12:37:43.754140,1594,1712853463,731791870,/vicon/world,vicon/slot_car/slot_car,0.48990130908264184,1.0271115697342428,0.04206481992818498,-0.015893933644540288,0.037671030433706024,0.7012452158119041,0.7117467412221019
2024/04/11/12:37:43.767793,1595,1712853463,745071870,/vicon/world,vicon/slot_car/slot_car,0.4898909108896247,1.0270960096437354,0.04199194877771036,-0.014125037060597726,0.037195644406545346,0.7011126518071322,0.7119396160076987
2024/04/11/12:37:43.771790,1596,1712853463,749153170,/vicon/world,vicon/slot_car/slot_car,0.48988426309095356,1.0271023318864194,0.041987684295284815,-0.014158411963164098,0.037096309963208264,0.7011138902263234,0.7119429163138754
2024/04/11/12:37:43.779870,1597,1712853463,756981284,/vicon/world,vicon/slot_car/slot_car,0.48990150566782903,1.0271164503066044,0.04204008529754873,-0.015904667211337164,0.03763831845119273,0.701238695390096,0.7117546562072211
2024/04/11/12:37:43.788673,1598,1712853463,765072884,/vicon/world,vicon/slot_car/slot_car,0.48990764537191717,1.0271042917009252,0.04197394946453615,-0.014168546029189408,0.03707700937775616,0.7011175730598457,0.7119400932843244
2024/04/11/12:37:43.796549,1599,1712853463,773383082,/vicon/world,vicon/slot_car/slot_car,0.48989851484871605,1.0271006930823567,0.041979304487470434,-0.014115796614093597,0.037214831302010996,0.7011131254406378,0.7119383301606769
2024/04/11/12:37:43.810012,1600,1712853463,787448882,/vicon/world,vicon/slot_car/slot_car,0.4898984227961322,1.0271173989430333,0.04204252085030072,-0.015762493422562383,0.0376679095841146,0.7012244772979943,0.7117702612689162
2024/04/11/12:37:43.813244,1601,1712853463,790068103,/vicon/world,vicon/slot_car/slot_car,0.4898957240172469,1.027109242424261,0.041998273263177316,-0.014157060661127785,0.03705809693962938,0.7011104747359098,0.7119482967886344
2024/04/11/12:37:43.821021,1602,1712853463,798263808,/vicon/world,vicon/slot_car/slot_car,0.48989877610684573,1.0271226208233672,0.042049103099878846,-0.015874832606880395,0.03764756071767453,0.7012169946415991,0.7117762129261669
2024/04/11/12:37:43.838341,1603,1712853463,806745335,/vicon/world,vicon/slot_car/slot_car,0.48988441279001443,1.0271048736652173,0.04199410385101862,-0.014126160076932157,0.03720640734444399,0.7010869838871433,0.7119643080085045
2024/04/11/12:37:43.840240,1604,1712853463,816703435,/vicon/world,vicon/slot_car/slot_car,0.48988663305688934,1.0271037593920898,0.04199925269363484,-0.014211725414718615,0.03713166501236814,0.7011047512588582,0.711949010868335
2024/04/11/12:37:43.846494,1605,1712853463,823269859,/vicon/world,vicon/slot_car/slot_car,0.4898977553333927,1.02710635904032,0.04199875015973526,-0.014228746748271187,0.03707716668094137,0.7011444455997843,0.711912419389814
2024/04/11/12:37:43.854558,1606,1712853463,831608159,/vicon/world,vicon/slot_car/slot_car,0.489898974606625,1.0271080955080643,0.04198742805491326,-0.014157590829931937,0.03711415705299916,0.701114000877749,0.7119418935147258
2024/04/11/12:37:43.862740,1607,1712853463,839795197,/vicon/world,vicon/slot_car/slot_car,0.48988442293834306,1.0271118156849162,0.04198280822956244,-0.0141108900963149,0.037199936844929476,0.701079282106582,0.7119725329535842
2024/04/11/12:37:43.870927,1608,1712853463,848183297,/vicon/world,vicon/slot_car/slot_car,0.4898787341729206,1.027112611514592,0.04199137828332457,-0.014152038433533281,0.037160290272009365,0.7011188920178482,0.7119347806440846
