time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/08/19:46:00.729093,171742,1709945160,707523273,/vicon/world,vicon/slot_car/slot_car,0.45664010448964965,1.1142111177979255,0.04693416582150893,0.017021583134256505,0.016408701554985715,0.6619461444355372,0.749178431408573
2024/03/08/19:46:00.737607,171743,1709945160,716051273,/vicon/world,vicon/slot_car/slot_car,0.4566370139968473,1.1142115887336739,0.04694191588191107,0.016873871781439315,0.016150919941064087,0.662052175488533,0.7490936771639856
2024/03/08/19:46:00.746916,171744,1709945160,724898768,/vicon/world,vicon/slot_car/slot_car,0.4566482466656011,1.114206885942448,0.04693589208450623,0.016826185960882725,0.016118242962846807,0.6620473389209762,0.7490997281653854
2024/03/08/19:46:00.754659,171745,1709945160,733197033,/vicon/world,vicon/slot_car/slot_car,0.45665434793448284,1.1142050063452662,0.04692286232194535,0.01706476571154306,0.016159130221236554,0.6620130157321651,0.7491237836852515
2024/03/08/19:46:00.762530,171746,1709945160,740984633,/vicon/world,vicon/slot_car/slot_car,0.4566445198973983,1.1142030797312072,0.046954912351578316,0.017343124587692715,0.01657887381492164,0.6620698199725275,0.7490580154127648
2024/03/08/19:46:00.770650,171747,1709945160,749358330,/vicon/world,vicon/slot_car/slot_car,0.4566405671520143,1.1142136220866803,0.04694815009143275,0.01667093495777808,0.016101021447291176,0.6620563267579785,0.7490956262292019
2024/03/08/19:46:00.779322,171748,1709945160,757834793,/vicon/world,vicon/slot_car/slot_car,0.45663996207452207,1.1142140741148117,0.04693582627839081,0.017151639315213144,0.016256723744765438,0.6619512987380957,0.7491742242635124
2024/03/08/19:46:00.787381,171749,1709945160,765979592,/vicon/world,vicon/slot_car/slot_car,0.45664906946547285,1.1142112249465392,0.04693463306588972,0.016986618895847662,0.016359176686725905,0.6620039752835382,0.7491292070300105
2024/03/08/19:46:00.796553,171750,1709945160,775052752,/vicon/world,vicon/slot_car/slot_car,0.456651397264649,1.1142034033327335,0.046948049650302644,0.017393765820396572,0.016650864717213703,0.662033650432571,0.7490872120852676
2024/03/08/19:46:00.804555,171751,1709945160,783156920,/vicon/world,vicon/slot_car/slot_car,0.45664555357284115,1.114209897237495,0.046943312787440974,0.0167488318331783,0.01617172958424991,0.6620287588493544,0.7491167293892597
2024/03/08/19:46:00.812172,171752,1709945160,791018920,/vicon/world,vicon/slot_car/slot_car,0.45663948399504917,1.1142029205942778,0.046938797031928055,0.016994066894967276,0.01614819818085753,0.6620543346326254,0.7490891104401617
