time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/08/19:37:52.926272,118387,1709944672,905186262,/vicon/world,vicon/slot_car/slot_car,0.4563046511385268,1.1154254172554086,0.04721376240554312,0.015417637183914559,0.009068527925487842,0.6618353164123044,0.7494358359555239
2024/03/08/19:37:52.934973,118388,1709944672,913881955,/vicon/world,vicon/slot_car/slot_car,0.4563081026158747,1.1154263421207906,0.047208940556689706,0.01552527399136035,0.00914092755403254,0.6617983422482057,0.7494653851302754
2024/03/08/19:37:52.943244,118389,1709944672,922049455,/vicon/world,vicon/slot_car/slot_car,0.4563154619408508,1.1154209688735142,0.04720447098521938,0.01551215278403514,0.009137829213404757,0.6618357204646688,0.7494326869774791
2024/03/08/19:37:52.951339,118390,1709944672,929989542,/vicon/world,vicon/slot_car/slot_car,0.4563083708667715,1.1154152758352793,0.047222427745159654,0.01550713449024601,0.009105491200625277,0.6618617534676527,0.7494101934899343
2024/03/08/19:37:52.959861,118391,1709944672,938588219,/vicon/world,vicon/slot_car/slot_car,0.4563024752794144,1.1154129001112005,0.047232822469912346,0.015372689180437582,0.009021659006734581,0.6618790813236862,0.7493986734724322
2024/03/08/19:37:52.968249,118392,1709944672,946974419,/vicon/world,vicon/slot_car/slot_car,0.4563015591048256,1.1154130755167944,0.04721794539115293,0.015469216873546129,0.009066088005043793,0.6618242654511992,0.7494445616839077
2024/03/08/19:37:52.976839,118393,1709944672,955704207,/vicon/world,vicon/slot_car/slot_car,0.45631278586766416,1.1154148235541936,0.047208759987238495,0.015514985906741857,0.009166654739212117,0.661814522704399,0.7494509958568033
2024/03/08/19:37:52.984867,118394,1709944672,963724441,/vicon/world,vicon/slot_car/slot_car,0.45631553579194445,1.1154177309928057,0.04721852278661445,0.015435744889581859,0.009121722097801738,0.6617862501198727,0.7494781458574703
2024/03/08/19:37:52.993101,118395,1709944672,972030040,/vicon/world,vicon/slot_car/slot_car,0.45630818962355896,1.1154246846150628,0.04722223110261976,0.015396115541128052,0.009054221659149606,0.6618297544488592,0.7494413631649604
2024/03/08/19:37:53.002479,118396,1709944672,981178530,/vicon/world,vicon/slot_car/slot_car,0.4563022721484681,1.115429677991428,0.0472104237494478,0.015458506596500473,0.009148970318094175,0.6617972060348053,0.7494676704171102
2024/03/08/19:37:53.009629,118397,1709944672,988521212,/vicon/world,vicon/slot_car/slot_car,0.45630773971165856,1.1154239995269633,0.04720619172937755,0.015482459928154984,0.00916472637348381,0.661803104405514,0.7494617750254489
2024/03/08/19:37:53.018455,118398,1709944672,997017512,/vicon/world,vicon/slot_car/slot_car,0.45631352274147924,1.1154171286060521,0.04720771059672747,0.015526547670193208,0.00911908463329052,0.6618399388109296,0.7494288918954494
2024/03/08/19:37:53.026406,118399,1709944673,5197419,/vicon/world,vicon/slot_car/slot_car,0.45631260891138237,1.115410344563368,0.047217624765707886,0.015456027058749577,0.009074934834836835,0.6618467728823239,0.7494248501421316
2024/03/08/19:37:53.034667,118400,1709944673,13607487,/vicon/world,vicon/slot_car/slot_car,0.4563075564090037,1.1154120012499469,0.04721806566219621,0.015545121906928968,0.009097437089612822,0.6618547201922917,0.7494157158630198
2024/03/08/19:37:53.043554,118401,1709944673,22006587,/vicon/world,vicon/slot_car/slot_car,0.456312728498507,1.1154130673156537,0.04722013300834694,0.015490665632906343,0.009165555362612014,0.6618112871765165,0.7494543695508799
2024/03/08/19:37:53.055544,118402,1709944673,33930971,/vicon/world,vicon/slot_car/slot_car,0.4563146756720117,1.1154173173325699,0.04722834417687102,0.015508465260170162,0.009082104735847358,0.6618205817398984,0.749446809629812
2024/03/08/19:37:53.060486,118403,1709944673,39001047,/vicon/world,vicon/slot_car/slot_car,0.4563072525512646,1.1154165204633617,0.04722891892254259,0.015457165601927591,0.009119151955124513,0.6618464994592496,0.7494245313923955
2024/03/08/19:37:53.068006,118404,1709944673,46810598,/vicon/world,vicon/slot_car/slot_car,0.45629915125555315,1.1154225308834342,0.04721170175281062,0.015508770244175197,0.009118091899119381,0.6618306954086174,0.7494374350541735
2024/03/08/19:37:53.077702,118405,1709944673,56355498,/vicon/world,vicon/slot_car/slot_car,0.45630844567502277,1.115412722151577,0.047200565089279785,0.015643206843004433,0.00918725948131416,0.6618338400660494,0.7494310191647507
2024/03/08/19:37:53.084936,118406,1709944673,63778373,/vicon/world,vicon/slot_car/slot_car,0.456311248960429,1.115415952073408,0.04721356689045902,0.01546735308226504,0.00905566753806259,0.661848597143695,0.7494232384527394
2024/03/08/19:37:53.094413,118407,1709944673,72754660,/vicon/world,vicon/slot_car/slot_car,0.4563035671180544,1.1154181695426988,0.047229889616751806,0.015464144922376908,0.00901000103278721,0.6618772682644818,0.7493985333972545
2024/03/08/19:37:53.102953,118408,1709944673,81409360,/vicon/world,vicon/slot_car/slot_car,0.45630228252763705,1.1154212002666408,0.047226176864419205,0.015546515304549589,0.00912047039136465,0.6618442327302156,0.7494246689851342
2024/03/08/19:37:53.109755,118409,1709944673,88671800,/vicon/world,vicon/slot_car/slot_car,0.45631749489287643,1.1154149557963458,0.04720813659122395,0.015599659830098358,0.009162554236628971,0.6618293233477915,0.749436218079998
2024/03/08/19:37:53.118920,118410,1709944673,97699746,/vicon/world,vicon/slot_car/slot_car,0.45632542651961183,1.1154131094997022,0.04721227677808993,0.015502440920338327,0.009162591252237033,0.6618014410750392,0.7494628568768816
2024/03/08/19:37:53.126543,118411,1709944673,105279546,/vicon/world,vicon/slot_car/slot_car,0.45630952357199245,1.1154165111149128,0.04722056741184216,0.015532957807611525,0.009086741600569848,0.6618383977772143,0.7494305128405977
2024/03/08/19:37:53.135682,118412,1709944673,114311121,/vicon/world,vicon/slot_car/slot_car,0.45629469094788544,1.1154248798098092,0.04720991383727915,0.015443921635826328,0.009063203590404549,0.6618590822785059,0.7494143705792139
2024/03/08/19:37:53.142862,118413,1709944673,121787017,/vicon/world,vicon/slot_car/slot_car,0.45629921086940967,1.1154225982194135,0.04720702128395281,0.015499843513077012,0.009135094942049286,0.6618181640049645,0.7494484790061073
2024/03/08/19:37:53.151717,118414,1709944673,130279617,/vicon/world,vicon/slot_car/slot_car,0.45630962267589215,1.1154228513498419,0.0472209588045295,0.015534961372944616,0.009173016323776342,0.6618229598353083,0.749443053594799
2024/03/08/19:37:53.159700,118415,1709944673,138320714,/vicon/world,vicon/slot_car/slot_car,0.4563152500845221,1.1154180448142907,0.04721880898532444,0.015496648960006777,0.009100250835379957,0.6618156281183544,0.7494512083411778
2024/03/08/19:37:53.167723,118416,1709944673,146739320,/vicon/world,vicon/slot_car/slot_car,0.4563136661787677,1.1154191294934874,0.04720102872198591,0.015544525448397769,0.009203961036523881,0.661827727934639,0.7494382652138173
2024/03/08/19:37:53.176440,118417,1709944673,155284420,/vicon/world,vicon/slot_car/slot_car,0.4563115276117866,1.1154169758523682,0.04719842264304085,0.015565347723535862,0.009195781779804988,0.6618168662414803,0.7494475252517753
2024/03/08/19:37:53.184712,118418,1709944673,163650626,/vicon/world,vicon/slot_car/slot_car,0.45630923383826094,1.115417272234693,0.047214359459188664,0.015461841004258653,0.009083045035153623,0.6618244455094883,0.7494443495628657
2024/03/08/19:37:53.193268,118419,1709944673,171900388,/vicon/world,vicon/slot_car/slot_car,0.45630229345109785,1.1154179334870884,0.0472184075668591,0.015431295613960333,0.00895189207975958,0.6618740937716702,0.7494027106554908
2024/03/08/19:37:53.201329,118420,1709944673,180250489,/vicon/world,vicon/slot_car/slot_car,0.45629806049887656,1.11542666298509,0.04721587978066122,0.015441299861188874,0.009029414250167261,0.6618322099534173,0.7494385643967566
2024/03/08/19:37:53.210581,118421,1709944673,188904682,/vicon/world,vicon/slot_car/slot_car,0.4563074148594061,1.1154269519213338,0.04721092382775259,0.015579099642984326,0.009175265598577566,0.661782189104504,0.7494781119816376
2024/03/08/19:37:53.218284,118422,1709944673,197115374,/vicon/world,vicon/slot_car/slot_car,0.45631822885307416,1.11541982820901,0.04721194461267438,0.015559610949917362,0.00922308320244301,0.6618039185403907,0.7494587424587907
2024/03/08/19:37:53.226934,118423,1709944673,205427274,/vicon/world,vicon/slot_car/slot_car,0.45631240678983187,1.115419857714697,0.04722187056213411,0.015470517261666499,0.009093436639967659,0.6618545348033202,0.7494174719513896
2024/03/08/19:37:53.234191,118424,1709944673,213004136,/vicon/world,vicon/slot_car/slot_car,0.45630219318045717,1.1154199207960434,0.047215183518354485,0.015493444133633594,0.009105279117191827,0.661844546250915,0.7494256758872065
2024/03/08/19:37:53.243893,118425,1709944673,222384454,/vicon/world,vicon/slot_car/slot_car,0.45630155721354876,1.1154191339810207,0.04720885608098854,0.015509087958558541,0.00913150691803832,0.6618369275266469,0.7494317614927909
2024/03/08/19:37:53.251871,118426,1709944673,230492754,/vicon/world,vicon/slot_car/slot_car,0.45631215860471896,1.1154149492629093,0.047209415151857066,0.015469192725372942,0.009073797543951332,0.6618329202939398,0.7494368258163941
2024/03/08/19:37:53.260131,118427,1709944673,238756092,/vicon/world,vicon/slot_car/slot_car,0.45630689634084903,1.1154193959750078,0.04721503314379724,0.015435858155886873,0.009060629892357081,0.6618519411872739,0.749420874552866
2024/03/08/19:37:53.268884,118428,1709944673,247836936,/vicon/world,vicon/slot_car/slot_car,0.45630317610811766,1.1154263761295558,0.047212744147172594,0.01543239058439132,0.009082233137101402,0.6618216055511131,0.7494474743354873
