time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/08/19:29:25.850059,68066,1709944165,828625167,/vicon/world,vicon/slot_car/slot_car,0.45654288499433854,1.115157065570583,0.04717028022465859,0.01622393850554885,0.0126402215906642,0.6552482133199671,0.7551336223202474
2024/03/08/19:29:25.857959,68067,1709944165,836358875,/vicon/world,vicon/slot_car/slot_car,0.45654478454967234,1.1151564619635927,0.04715401984872869,0.016604234296807442,0.012850412463431228,0.6551820298301811,0.7551792330900924
2024/03/08/19:29:25.866016,68068,1709944165,844469875,/vicon/world,vicon/slot_car/slot_car,0.4565570285934709,1.115162494596751,0.04713283037354932,0.01673027237705682,0.012972039396002494,0.655110144359134,0.7552367330432576
2024/03/08/19:29:25.876405,68069,1709944165,854575506,/vicon/world,vicon/slot_car/slot_car,0.4565508972212675,1.115162771274733,0.04714268723629597,0.016525171856323115,0.012832532184182104,0.6551288278471951,0.7552274251749741
2024/03/08/19:29:25.883517,68070,1709944165,861945644,/vicon/world,vicon/slot_car/slot_car,0.4565421484143457,1.1151723153761597,0.0471366778719067,0.016528780300315175,0.012706669312984349,0.6551945120708251,0.7551724911098311
2024/03/08/19:29:25.891073,68071,1709944165,869453644,/vicon/world,vicon/slot_car/slot_car,0.4565369090974051,1.1151643719299191,0.047133825465758436,0.01636037478587287,0.012754667730464759,0.6551684550980036,0.7551979555271893
2024/03/08/19:29:25.900366,68072,1709944165,878655842,/vicon/world,vicon/slot_car/slot_car,0.4565463048712565,1.1151581233523686,0.04713788373296201,0.01652972456693738,0.012830576075116437,0.6551444495466401,0.7552138073099245
2024/03/08/19:29:25.909029,68073,1709944165,887340126,/vicon/world,vicon/slot_car/slot_car,0.4565463816176559,1.1151547376808213,0.047164031371733674,0.016562179416465525,0.01278554616311349,0.655168480637837,0.7551930124153666
2024/03/08/19:29:25.916502,68074,1709944165,895191026,/vicon/world,vicon/slot_car/slot_car,0.45654958344962,1.115155306597019,0.0471707629437015,0.01650375006673423,0.012716395895226027,0.6552477755065187,0.7551266597087734
2024/03/08/19:29:25.925401,68075,1709944165,903888889,/vicon/world,vicon/slot_car/slot_car,0.4565493432785227,1.1151518059137526,0.04715639371592568,0.016453982877704294,0.012798349478047795,0.6551868223746049,0.7551792479171855
2024/03/08/19:29:25.933217,68076,1709944165,911765281,/vicon/world,vicon/slot_car/slot_car,0.45655023953947754,1.115156292135361,0.04714041294437349,0.016567995770378666,0.012831231256420633,0.6551360371395921,0.7552202551981959
2024/03/08/19:29:25.941273,68077,1709944165,919510481,/vicon/world,vicon/slot_car/slot_car,0.45654616800433684,1.1151535187710244,0.04714427363835283,0.016438392554669414,0.012834316469578501,0.6551623034256758,0.7552002487691195
2024/03/08/19:29:25.949488,68078,1709944165,927851217,/vicon/world,vicon/slot_car/slot_car,0.45654476472369737,1.115156545264721,0.04715176452575299,0.016270914822249745,0.012697189631855994,0.655226962264269,0.7551500954301986
2024/03/08/19:29:25.958505,68079,1709944165,937091833,/vicon/world,vicon/slot_car/slot_car,0.4565429273425425,1.1151617378611598,0.04714897699239744,0.016355812454460623,0.012689384016546065,0.6551715897126166,0.7551964346881399
2024/03/08/19:29:25.966308,68080,1709944165,944585133,/vicon/world,vicon/slot_car/slot_car,0.45654800707167487,1.1151592984078562,0.04714623308068772,0.016523225299993664,0.012795003977322377,0.655146902142892,0.7552124254218001
2024/03/08/19:29:25.975770,68081,1709944165,954116643,/vicon/world,vicon/slot_car/slot_car,0.45654968999619033,1.1151519405038488,0.0471441329920646,0.0165485140218826,0.012792034711237184,0.6551690540903214,0.7551927046085704
2024/03/08/19:29:25.983806,68082,1709944165,961746969,/vicon/world,vicon/slot_car/slot_car,0.45654635324730636,1.1151531735548097,0.04715232264023352,0.016521001189802115,0.012708760820969093,0.6551768149091088,0.7551879799914968
2024/03/08/19:29:25.991787,68083,1709944165,969782011,/vicon/world,vicon/slot_car/slot_car,0.456545632878542,1.1151541219790722,0.047151404015146,0.01658472603087727,0.012848480113921585,0.655164939125214,0.7551945219361019
2024/03/08/19:29:25.999293,68084,1709944165,977732511,/vicon/world,vicon/slot_car/slot_car,0.4565509432827312,1.115148401161947,0.04714225021912107,0.01657139503101097,0.012799953290343757,0.6551555680735227,0.755203768320015
2024/03/08/19:29:26.007955,68085,1709944165,986543021,/vicon/world,vicon/slot_car/slot_car,0.4565467234709415,1.1151504547182314,0.04713445991363603,0.01679255119673884,0.012742475552656878,0.6551624667688141,0.7551938702601455
2024/03/08/19:29:26.015705,68086,1709944165,994364741,/vicon/world,vicon/slot_car/slot_car,0.45654149453657084,1.1151521901461303,0.047152337136573325,0.016444401822024515,0.012657330449259943,0.655186200657687,0.755182372743405
2024/03/08/19:29:26.024688,68087,1709944166,2583041,/vicon/world,vicon/slot_car/slot_car,0.45654674116229454,1.1151525438494403,0.04714056197172157,0.016503753456085644,0.012843001887910144,0.6551416615214554,0.7552165826855728
2024/03/08/19:29:26.033968,68088,1709944166,12338034,/vicon/world,vicon/slot_car/slot_car,0.45655646382603493,1.1151516273984485,0.04713903206834149,0.01653885001042786,0.012800335684027542,0.6551372273348572,0.7552203858521725
2024/03/08/19:29:26.041425,68089,1709944166,19414903,/vicon/world,vicon/slot_car/slot_car,0.45654505723578837,1.1151567622729477,0.047157098026933214,0.016507097471489943,0.012822826190164777,0.6551503027429283,0.7552093561903301
2024/03/08/19:29:26.049332,68090,1709944166,27784803,/vicon/world,vicon/slot_car/slot_car,0.45653466113671204,1.1151584837193584,0.047170751904833226,0.016376973661642102,0.012738849210496773,0.6551971428388463,0.7551729738743903
2024/03/08/19:29:26.062009,68091,1709944166,40562886,/vicon/world,vicon/slot_car/slot_car,0.45654428207493314,1.1151578073709847,0.047158227433767935,0.0164490175658447,0.01277426823187193,0.6551609642986422,0.7552021972634427
