time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/08/19:00:46.356929,77334,1709942446,335214822,/vicon/world,vicon/slot_car/slot_car,0.45650359325277395,1.116134369018802,0.047220222473315615,0.013445005271456936,0.006157635087587982,0.6541747686438557,0.7561988412006042
2024/03/08/19:00:46.364277,77335,1709942446,342870222,/vicon/world,vicon/slot_car/slot_car,0.4565067622439309,1.116123049594349,0.04722259472212632,0.013180538900818467,0.005992200869491229,0.6542366706506177,0.7561512717036312
2024/03/08/19:00:46.373554,77336,1709942446,352007833,/vicon/world,vicon/slot_car/slot_car,0.4565077192280433,1.1161301177555154,0.04722760387222187,0.013135565327255523,0.005872447976023635,0.6542304494820785,0.7561583764323316
2024/03/08/19:00:46.381686,77337,1709942446,359881802,/vicon/world,vicon/slot_car/slot_car,0.456495131566193,1.116125237684511,0.04723438216661269,0.013364859402996558,0.006015872710378929,0.6541877182842631,0.7561902003164946
2024/03/08/19:00:46.389764,77338,1709942446,367953602,/vicon/world,vicon/slot_car/slot_car,0.456498748576811,1.1161317841880913,0.04723684116661594,0.013469924894922873,0.006107416527884171,0.654180885453437,0.7561935133906117
2024/03/08/19:00:46.398831,77339,1709942446,376852531,/vicon/world,vicon/slot_car/slot_car,0.45650385802952465,1.116125351986057,0.04729338074543791,0.012360932347200013,0.006157913931167195,0.6542644650556776,0.7561397339202142
2024/03/08/19:00:46.406447,77340,1709942446,384463962,/vicon/world,vicon/slot_car/slot_car,0.4565025275098729,1.1161299423865287,0.04725700684163653,0.013306140563431348,0.005957926016110883,0.6542501527661302,0.7561376775074683
2024/03/08/19:00:46.413931,77341,1709942446,392448761,/vicon/world,vicon/slot_car/slot_car,0.45650083607115965,1.1161319365334539,0.04727619903819074,0.012306252833867402,0.006168504616770529,0.6542285173342218,0.7561716424189998
2024/03/08/19:00:46.422852,77342,1709942446,401237846,/vicon/world,vicon/slot_car/slot_car,0.4565061353723458,1.1161332475075234,0.04725436926720795,0.012173957947304859,0.006166987791658953,0.6542585267712303,0.7561478315492376
2024/03/08/19:00:46.430763,77343,1709942446,409489944,/vicon/world,vicon/slot_car/slot_car,0.4565019309316794,1.1161167365561373,0.04722420233678467,0.013169941009123175,0.005995677056355095,0.6542489001448742,0.7561408474415825
2024/03/08/19:00:46.439565,77344,1709942446,417886144,/vicon/world,vicon/slot_car/slot_car,0.4564970163057437,1.11612298905449,0.04723225127897229,0.013263347877269852,0.0060381823603298385,0.6542098836881924,0.7561726337560437
2024/03/08/19:00:46.448824,77345,1709942446,426988810,/vicon/world,vicon/slot_car/slot_car,0.4564997906978271,1.1161219458087355,0.04723607235098517,0.013499527836579489,0.006136661991259362,0.6541767419986825,0.7561963332070473
2024/03/08/19:00:46.456224,77346,1709942446,434333459,/vicon/world,vicon/slot_car/slot_car,0.45650950630008374,1.1161240357276467,0.04724418620774428,0.013464697190356478,0.006106631833285088,0.6541874334886764,0.7561879480940723
2024/03/08/19:00:46.464552,77347,1709942446,442883659,/vicon/world,vicon/slot_car/slot_car,0.45649836359206564,1.116132457073049,0.04730106096124987,0.012216599030301657,0.006179311289785782,0.6542436564357256,0.7561599095652514
2024/03/08/19:00:46.473410,77348,1709942446,451952397,/vicon/world,vicon/slot_car/slot_car,0.45648808291327914,1.1161198047179097,0.04725228329393612,0.013108128400738089,0.005873468982419198,0.6542592980998894,0.7561338837678037
2024/03/08/19:00:46.481730,77349,1709942446,460203919,/vicon/world,vicon/slot_car/slot_car,0.45649305923594335,1.1161143527293633,0.04721665662509277,0.01332382760012602,0.006070500698555673,0.654235213259368,0.7561493968593906
