time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/08/19:42:06.794690,147897,1709944926,773240237,/vicon/world,vicon/slot_car/slot_car,0.45634271378202335,1.115604967999614,0.04709133959798581,0.015075741513397271,0.009569499226722192,0.6596668761100263,0.7513459650957143
2024/03/08/19:42:06.802675,147898,1709944926,781325537,/vicon/world,vicon/slot_car/slot_car,0.45634685484878507,1.115606462365905,0.04709558579497107,0.015199189559055241,0.009571685121972404,0.659621913055379,0.7513829245450258
2024/03/08/19:42:06.811507,147899,1709944926,790353340,/vicon/world,vicon/slot_car/slot_car,0.4563447381984132,1.115602145742374,0.04711296673246206,0.015072436070677707,0.009532488516516623,0.6596630868501275,0.7513498287621679
2024/03/08/19:42:06.819287,147900,1709944926,797873129,/vicon/world,vicon/slot_car/slot_car,0.4563407746900676,1.115608323742101,0.04711094923105838,0.015001160580296567,0.00954038675159909,0.6596646317624927,0.7513497985649088
2024/03/08/19:42:06.827812,147901,1709944926,806381629,/vicon/world,vicon/slot_car/slot_car,0.4563376109130883,1.1156014418242812,0.04711551289351477,0.015007112338832972,0.00945269580908307,0.659676056769349,0.7513407570779275
2024/03/08/19:42:06.836399,147902,1709944926,814941326,/vicon/world,vicon/slot_car/slot_car,0.4563432937670572,1.1155969294097408,0.047115447617283306,0.014965743069947844,0.009533984329483438,0.6596983504355196,0.7513209807464609
2024/03/08/19:42:06.844488,147903,1709944926,823122087,/vicon/world,vicon/slot_car/slot_car,0.4563515666841583,1.1155934598832224,0.04710286432173808,0.015069088813255178,0.009497763919496654,0.6596843666016271,0.7513316521379076
2024/03/08/19:42:06.855955,147904,1709944926,834704587,/vicon/world,vicon/slot_car/slot_car,0.45634362350004715,1.1156170485772459,0.04709964922107518,0.014964478405121308,0.009500265234755053,0.6596677065623653,0.7513483388317839
2024/03/08/19:42:06.861467,147905,1709944926,840313875,/vicon/world,vicon/slot_car/slot_car,0.45633790837073046,1.115613576197863,0.047098248672717474,0.015078884897393209,0.009479234612154441,0.6596373412266682,0.751372976224745
2024/03/08/19:42:06.869935,147906,1709944926,848785712,/vicon/world,vicon/slot_car/slot_car,0.4563378491925899,1.115617637317219,0.04711023657219493,0.015022091139068598,0.009507182091250755,0.6596469741591529,0.7513653037964737
