time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/03/21:38:40.729363,8803,1709519917,976544064,/vicon/world,vicon/slot_car/slot_car,0.5155476109999465,0.931888532423651,0.023116652304845425,0.018997113741039563,0.018402042478999417,0.6471353377509249,0.7619162218617658
2024/03/03/21:38:40.729521,8804,1709519917,976874464,/vicon/world,vicon/slot_car/slot_car,0.5155487145772355,0.9318359973401005,0.023068190266708945,0.019516704594394522,0.02049893156324532,0.646480024279485,0.7624057123698228
2024/03/03/21:38:40.729551,8805,1709519917,977473164,/vicon/world,vicon/slot_car/slot_car,0.5155401557517466,0.9318390055511709,0.023084802680917654,0.019482328884571173,0.020426566829884595,0.6464753028228574,0.7624125373240347
2024/03/03/21:38:40.729761,8806,1709519917,969482064,/vicon/world,vicon/slot_car/slot_car,0.5155526611023756,0.9318319690994437,0.0230368541401695,0.019539341490813305,0.02041915023913852,0.6464581908905542,0.7624257864658885
2024/03/03/21:38:40.729771,8807,1709519917,977203864,/vicon/world,vicon/slot_car/slot_car,0.5155311163992735,0.9319033003211741,0.02314917222396171,0.01936010183836238,0.022122893224853935,0.6458752385943216,0.7628767529705556
2024/03/03/21:38:40.729822,8808,1709519917,969680164,/vicon/world,vicon/slot_car/slot_car,0.5155450546176651,0.9319644040248778,0.023178875169321593,0.01936238270933257,0.02036325396741465,0.646673199132547,0.7622494405031421
2024/03/03/21:38:40.730032,8809,1709519917,952945764,/vicon/world,vicon/slot_car/slot_car,0.515541238172684,0.9319005856000742,0.02314832098344351,0.01932845357695125,0.02209688351082052,0.6459153898681754,0.7628443142298931
2024/03/03/21:38:40.730046,8810,1709519917,969238064,/vicon/world,vicon/slot_car/slot_car,0.5155223642623924,0.9319062930864931,0.02315551317585691,0.019389210864862273,0.021911563272031698,0.6459279418924172,0.7628374897575759
2024/03/03/21:38:40.730149,8811,1709519917,977391264,/vicon/world,vicon/slot_car/slot_car,0.5155242288889675,0.9319059450179027,0.023159450703510023,0.019305385476584287,0.02203213172886244,0.6459221279105846,0.7628410659754395
2024/03/03/21:38:40.730202,8812,1709519917,982892364,/vicon/world,vicon/slot_car/slot_car,0.5155477549681833,0.9319604324974552,0.02316872779416633,0.01935262968363661,0.020357589116882086,0.6466326130915425,0.7622842697944644
2024/03/03/21:38:40.730273,8813,1709519917,977755664,/vicon/world,vicon/slot_car/slot_car,0.5155468965656761,0.9319494187250302,0.023176718681874507,0.019318210284019446,0.02052059568977138,0.6466049017631007,0.7623042784347273
2024/03/03/21:38:40.730424,8814,1709519917,952332264,/vicon/world,vicon/slot_car/slot_car,0.5155301862058242,0.9319055185973266,0.023162313853704233,0.019300535679313214,0.022107436262365953,0.6458840849499727,0.7628712207133871
2024/03/03/21:38:40.730442,8815,1709519917,945203264,/vicon/world,vicon/slot_car/slot_car,0.5155295361327907,0.9319000556770807,0.02315209431074481,0.019396573848200906,0.021904545793285827,0.6459223525677067,0.7628422368025648
2024/03/03/21:38:40.730650,8816,1709519917,953246964,/vicon/world,vicon/slot_car/slot_car,0.5155290142542841,0.931900639983443,0.023156036949834237,0.019318736648411883,0.021981024108003126,0.645930883845877,0.7628347883307085
2024/03/03/21:38:40.730661,8817,1709519917,977500764,/vicon/world,vicon/slot_car/slot_car,0.5155525997960645,0.9319504990549177,0.023175246186169906,0.019307384795902806,0.0205904486192715,0.6465880246521153,0.7623169843932873
2024/03/03/21:38:40.730740,8818,1709519917,983603864,/vicon/world,vicon/slot_car/slot_car,0.5155426976934848,0.931899861268587,0.023124821354243055,0.019407620072206165,0.02201209295305309,0.6459002360226358,0.7628575864162737
2024/03/03/21:38:40.730837,8819,1709519917,961236764,/vicon/world,vicon/slot_car/slot_car,0.5155442390881577,0.9318944391415636,0.023148044444538798,0.019435459775807823,0.02214211165000613,0.6458887645742066,0.7628628275068767
2024/03/03/21:38:40.730850,8820,1709519917,969392664,/vicon/world,vicon/slot_car/slot_car,0.5155516730429756,0.9318337918741659,0.02306636544278558,0.019659890035986446,0.020404281572138118,0.6464472169762276,0.7624323902360051
2024/03/03/21:38:40.731003,8821,1709519916,879429103,/vicon/world,vicon/slot_car/slot_car,0.5155386760524259,0.9318431458814936,0.02306096815691152,0.019541809960611563,0.020392030468327434,0.6464595072112252,0.7624253329297643
2024/03/03/21:38:40.731071,8822,1709519916,884692603,/vicon/world,vicon/slot_car/slot_car,0.5155486069659931,0.9319563806798864,0.023192610021704176,0.019169837138750083,0.020343286588077818,0.646650695876668,0.7622739307867548
2024/03/03/21:38:40.731121,8823,1709519916,884611403,/vicon/world,vicon/slot_car/slot_car,0.5155266517263808,0.9319071263115942,0.023145952522347423,0.019427695998197957,0.021938001074921675,0.6458952480859589,0.7628634328875752
2024/03/03/21:38:40.731209,8824,1709519916,879543203,/vicon/world,vicon/slot_car/slot_car,0.5155475376159891,0.9318371587307442,0.023070115899705156,0.01955946826917053,0.020411707405108007,0.6464808793038288,0.7624062316746788
2024/03/03/21:38:40.731262,8825,1709519916,879705703,/vicon/world,vicon/slot_car/slot_car,0.5155512002168957,0.9318307612109795,0.023058600914652106,0.019678766249381377,0.020480354060616174,0.6464466756479962,0.7624303225869944
2024/03/03/21:38:40.731274,8826,1709519916,879996703,/vicon/world,vicon/slot_car/slot_car,0.5155486481475895,0.9318317693070317,0.023048043816858384,0.01957443744888989,0.020424232483139182,0.6464892171799409,0.7623984418898699
2024/03/03/21:38:40.731336,8827,1709519916,863952003,/vicon/world,vicon/slot_car/slot_car,0.5155345547279016,0.931841399128772,0.023069468559614684,0.019512371323458576,0.02041216956598576,0.6464649444510456,0.7624209377337767
2024/03/03/21:38:40.731367,8828,1709519916,838753603,/vicon/world,vicon/slot_car/slot_car,0.51554538251312,0.9318356019201898,0.023070869719665443,0.0194635425001399,0.020493173253793646,0.6464998079237583,0.7623904503060612
2024/03/03/21:38:40.731407,8829,1709519916,871122203,/vicon/world,vicon/slot_car/slot_car,0.5155503632422017,0.9318345366527873,0.02305331457108858,0.01952494944686105,0.02047318692011775,0.6464735570798992,0.7624116768274826
2024/03/03/21:38:40.731457,8830,1709519916,884960103,/vicon/world,vicon/slot_car/slot_car,0.5155369270515385,0.9318337219033024,0.023083642727349807,0.019531374592132437,0.02036821991970203,0.6465292822572303,0.7623670692047205
2024/03/03/21:38:40.731502,8831,1709519916,880006803,/vicon/world,vicon/slot_car/slot_car,0.5155761717327452,0.9318975650354402,0.023058363188543388,0.019797755827115696,0.019204660406410157,0.6472280437222548,0.7617972757252072
2024/03/03/21:38:40.731542,8832,1709519916,880260103,/vicon/world,vicon/slot_car/slot_car,0.515534500759292,0.9318450345713778,0.023075275348723574,0.01953357602938355,0.020347680053488346,0.6464873135060545,0.7624031510950553
2024/03/03/21:38:40.731585,8833,1709519916,880442403,/vicon/world,vicon/slot_car/slot_car,0.5155303437544377,0.931839706033733,0.023066129418625896,0.01960788772996014,0.020353943918608213,0.6464844441698306,0.7624035094044049
2024/03/03/21:38:40.731628,8834,1709519916,872586503,/vicon/world,vicon/slot_car/slot_car,0.5155603827208349,0.9318972708534127,0.02310991849910304,0.019172574057088224,0.01833923753522449,0.647236149823854,0.7618277043609307
