time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/03/21:59:21.899914,75532,1709521161,873335087,/vicon/world,vicon/slot_car/slot_car,0.5221082775190239,1.0444392656003434,0.022910642342903506,0.01720853167646019,0.01547400488277468,0.6540752867312921,0.7560753539812062
2024/03/03/21:59:21.907531,75533,1709521161,881603687,/vicon/world,vicon/slot_car/slot_car,0.5221154143732796,1.0444315357540932,0.02288794048236185,0.01741654685899693,0.015838089168662597,0.6539877141131036,0.7561388024801473
2024/03/03/21:59:21.923879,75534,1709521161,890155709,/vicon/world,vicon/slot_car/slot_car,0.5221120024338921,1.044435614870256,0.022884980129565316,0.017366450413664827,0.015899734813031044,0.6539681156923027,0.7561556112935777
2024/03/03/21:59:21.924499,75535,1709521161,898076410,/vicon/world,vicon/slot_car/slot_car,0.5221023911366939,1.0444427635838798,0.022879827097489456,0.017221010215835535,0.015465986697699411,0.6539978825801516,0.7561421887735739
2024/03/03/21:59:21.932300,75536,1709521161,906637104,/vicon/world,vicon/slot_car/slot_car,0.5220938706481493,1.0444498671399765,0.022896579985479656,0.017321406010652622,0.015802648514923686,0.6540048762657065,0.7561268855254427
2024/03/03/21:59:21.941200,75537,1709521161,915179852,/vicon/world,vicon/slot_car/slot_car,0.5221079811542058,1.0444429581927666,0.022873750180796265,0.01719422711519079,0.015658750449366477,0.6540164334287282,0.7561227855933464
2024/03/03/21:59:21.957710,75538,1709521161,923942728,/vicon/world,vicon/slot_car/slot_car,0.5221107953322511,1.0444372678585945,0.02287365557196565,0.017385698382693715,0.01572845695145604,0.6539954461646504,0.7561351132764381
2024/03/03/21:59:21.957727,75539,1709521161,932078428,/vicon/world,vicon/slot_car/slot_car,0.5221097626033068,1.044443676055436,0.022893209446364318,0.017338440576429328,0.015733521359412184,0.6540375814778666,0.7560996474001251
2024/03/03/21:59:21.961527,75540,1709521161,940357828,/vicon/world,vicon/slot_car/slot_car,0.5221039004753611,1.0444432588676855,0.022898845974805557,0.017237804962198233,0.01531409662921191,0.6540521464645477,0.7560979607363283
2024/03/03/21:59:21.969828,75541,1709521161,948694752,/vicon/world,vicon/slot_car/slot_car,0.5221058395255588,1.0444406764091387,0.022889319861614462,0.01741207639850723,0.015842305677319042,0.654004193121881,0.7561245640271954
2024/03/03/21:59:21.990703,75542,1709521161,956655580,/vicon/world,vicon/slot_car/slot_car,0.5221092037188748,1.0444345115272544,0.022860595501275328,0.017294554361303133,0.015698846540793305,0.6540003658322906,0.7561335636631683
2024/03/03/21:59:21.991694,75543,1709521161,965351180,/vicon/world,vicon/slot_car/slot_car,0.5221021708188628,1.044442495672466,0.022872881068111108,0.017310604832002932,0.015944374693333225,0.6540141839697413,0.7561161068528974
2024/03/03/21:59:21.998694,75544,1709521161,972992488,/vicon/world,vicon/slot_car/slot_car,0.522101503637349,1.0444452841261653,0.022887911021409153,0.017219763710858906,0.015544226134332722,0.6540283041544338,0.7561142996508546
2024/03/03/21:59:22.007449,75545,1709521161,981736168,/vicon/world,vicon/slot_car/slot_car,0.5221078649870807,1.044445363106857,0.02290058702848666,0.017476168813852933,0.01586299270114763,0.6539844555774458,0.7561397230996563
2024/03/03/21:59:22.015473,75546,1709521161,989848071,/vicon/world,vicon/slot_car/slot_car,0.5221056584806734,1.0444435461052954,0.02290130739219653,0.017468693113380732,0.015647276713986382,0.6540059612112284,0.7561257899268636
2024/03/03/21:59:22.024350,75547,1709521161,998250971,/vicon/world,vicon/slot_car/slot_car,0.5220897693538838,1.0445333094427205,0.023056840878986535,0.013840233938758679,0.013780817924421295,0.6546120940871099,0.7557126062576588
2024/03/03/21:59:22.032571,75548,1709521162,6912873,/vicon/world,vicon/slot_car/slot_car,0.5221062289620677,1.0444844510599778,0.022963515091407226,0.016032944842725848,0.013299288182982897,0.6546206153344385,0.7556705125864428
2024/03/03/21:59:22.048891,75549,1709521162,14850507,/vicon/world,vicon/slot_car/slot_car,0.5221173003746533,1.0444867712073715,0.022942492394519155,0.01617842085781702,0.013375778692409706,0.6545552697996212,0.7557226647523972
2024/03/03/21:59:22.049940,75550,1709521162,23302407,/vicon/world,vicon/slot_car/slot_car,0.5221185716088922,1.044490280375519,0.022912367492439925,0.01602300027646945,0.013376034683122803,0.6545248458224303,0.7557523214383268
2024/03/03/21:59:22.056865,75551,1709521162,31098921,/vicon/world,vicon/slot_car/slot_car,0.5221053577426175,1.0444933397908003,0.022932814438631856,0.015981592648861682,0.013232350579149454,0.6545780326769716,0.7557096616633282
2024/03/03/21:59:22.066428,75552,1709521162,40437995,/vicon/world,vicon/slot_car/slot_car,0.5220867673540039,1.0445396698512468,0.02304492457630895,0.01373806316816081,0.013676943376775965,0.6546260918322692,0.755704232310939
