time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/03/21:43:29.841400,26438,1709520175,73503877,/vicon/world,vicon/slot_car/slot_car,0.49237359420556537,0.5531426697943381,0.022667754738926356,0.017703333074974747,0.02557356240078871,0.6410842128300661,0.7668400204503049
2024/03/03/21:43:29.841448,26439,1709520175,81891677,/vicon/world,vicon/slot_car/slot_car,0.49236382743062507,0.5531340184997626,0.022666526992499873,0.017881949433446204,0.025480795772900806,0.6410646071338791,0.7668553542954007
2024/03/03/21:43:29.845125,26440,1709520175,91116977,/vicon/world,vicon/slot_car/slot_car,0.4923749401804843,0.5531455337871589,0.022648969499377104,0.01796284943649045,0.025480879079704394,0.6411441298234037,0.7667869753943646
2024/03/03/21:43:29.845156,26441,1709520175,91720477,/vicon/world,vicon/slot_car/slot_car,0.49237876451713,0.553135280723487,0.022644523263455233,0.01791659239684251,0.0255977092373467,0.641125135987884,0.7668000476025043
2024/03/03/21:43:29.845264,26442,1709520175,91893577,/vicon/world,vicon/slot_car/slot_car,0.49237472455251863,0.5531427540693541,0.02264928152152783,0.018049857502099666,0.025549279498210453,0.6411183236824027,0.7668042331651164
2024/03/03/21:43:29.865823,26443,1709520175,83040277,/vicon/world,vicon/slot_car/slot_car,0.49235830502910166,0.553138519379347,0.022677113921279617,0.017476188287117517,0.02568202991679799,0.641057465511986,0.7668639658333509
2024/03/03/21:43:29.865982,26444,1709520175,91452477,/vicon/world,vicon/slot_car/slot_car,0.49237178335994797,0.5531419501864863,0.022668143621562494,0.01769370537784666,0.025624696552188138,0.6411349612786048,0.7667961066299777
2024/03/03/21:43:29.883763,26445,1709520175,117272777,/vicon/world,vicon/slot_car/slot_car,0.4923789149417873,0.5531379233981113,0.022668451626409805,0.01758034248956267,0.02565550697494478,0.6410625145120161,0.766858252226146
2024/03/03/21:43:29.883853,26446,1709520175,125588477,/vicon/world,vicon/slot_car/slot_car,0.49238058427297104,0.5531434875098471,0.02266742117194703,0.017843948588516227,0.025533686488960483,0.6411255323040924,0.7668035447106697
2024/03/03/21:43:29.883915,26447,1709520175,130655677,/vicon/world,vicon/slot_car/slot_car,0.4923714492435716,0.5531418167530432,0.022646879448499982,0.017634007646820164,0.025292462744392154,0.6411959091400644,0.7667575491670634
2024/03/03/21:43:29.884043,26448,1709520175,130647677,/vicon/world,vicon/slot_car/slot_car,0.4923616859873099,0.5531430663276335,0.022665050147120894,0.01768711173289347,0.025511305975817612,0.6411234044725963,0.7668097023273923
2024/03/03/21:43:29.884227,26449,1709520175,118078977,/vicon/world,vicon/slot_car/slot_car,0.4923730072379111,0.5531353268780432,0.022654096545922566,0.018037228176794262,0.025661757293238493,0.6411217208405764,0.7667979340600359
2024/03/03/21:43:29.884329,26450,1709520175,125274977,/vicon/world,vicon/slot_car/slot_car,0.49237944061663524,0.553146549197612,0.02266494946773056,0.017793248835541238,0.025706538322641827,0.6410455108762326,0.7668658469176816
2024/03/03/21:43:29.895347,26451,1709520175,137020677,/vicon/world,vicon/slot_car/slot_car,0.4923713460692125,0.5531456836662229,0.022658517881307124,0.017751169485293584,0.025546550719576462,0.6411052500779048,0.7668222271496724
2024/03/03/21:43:29.895471,26452,1709520175,129470077,/vicon/world,vicon/slot_car/slot_car,0.49236539837570165,0.5531408137926125,0.02267394526272136,0.017596558541347368,0.025740553934281596,0.6410555924240947,0.7668608168582159
2024/03/03/21:43:29.910819,26453,1709520175,151844977,/vicon/world,vicon/slot_car/slot_car,0.4923721544970944,0.5531379258178856,0.022658071124202952,0.017790144864788464,0.025507196515770925,0.64105691021366,0.766863046142472
