time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/03/22:04:09.458316,108578,1709521449,424770575,/vicon/world,vicon/slot_car/slot_car,0.521475742166156,1.0385641152411316,0.02282407915245061,0.017801708573576405,0.01866043682607668,0.6664729723662176,0.7450829916020499
2024/03/03/22:04:09.459198,108579,1709521449,433845175,/vicon/world,vicon/slot_car/slot_car,0.5214677821377146,1.0386040830949936,0.022874290343077305,0.015720543486161184,0.019193948188708777,0.666470036765518,0.7451188810916001
2024/03/03/22:04:09.463853,108580,1709521449,442458175,/vicon/world,vicon/slot_car/slot_car,0.5214782252722953,1.038564270868773,0.02279372388304067,0.0178106446602821,0.018930106091064706,0.6664006693869527,0.7451406443489629
2024/03/03/22:04:09.471018,108581,1709521449,449941055,/vicon/world,vicon/slot_car/slot_car,0.5214742310037571,1.0385626071906608,0.022808644188234476,0.0178344781772051,0.018877610336335383,0.6663963401420177,0.7451452778226946
2024/03/03/22:04:09.484219,108582,1709521449,458552255,/vicon/world,vicon/slot_car/slot_car,0.5214711251034763,1.0385691505405623,0.022827996030439307,0.01770002978736255,0.018908779633501457,0.6664284247116333,0.74511899837185
2024/03/03/22:04:09.500352,108583,1709521449,466846837,/vicon/world,vicon/slot_car/slot_car,0.5214736000040556,1.038562164197571,0.022828192114262607,0.0178375870558547,0.01878879933235668,0.6664509322179392,0.745098621964578
2024/03/03/22:04:09.502244,108584,1709521449,476048337,/vicon/world,vicon/slot_car/slot_car,0.5214813336688646,1.0385669951620027,0.02280642620834979,0.01804431929920931,0.018645489023572416,0.666314776069824,0.7452190063807554
2024/03/03/22:04:09.509277,108585,1709521449,483482220,/vicon/world,vicon/slot_car/slot_car,0.5214764978151338,1.0385638587387915,0.02280908279387211,0.01772512091938391,0.018745111948065538,0.6664107405242601,0.7451383534487773
2024/03/03/22:04:09.520717,108586,1709521449,494865068,/vicon/world,vicon/slot_car/slot_car,0.5214684230423129,1.0385709657727749,0.022806414835882315,0.017701876635922122,0.01844379654994184,0.6663418990067347,0.7452079867798582
2024/03/03/22:04:09.525549,108587,1709521449,499714948,/vicon/world,vicon/slot_car/slot_car,0.5214716439392242,1.0385589919650404,0.022814815842298122,0.01782001125821546,0.01881549368652185,0.66643648544937,0.7451112905183905
