time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/03/22:07:45.146912,133037,1709521665,105003184,/vicon/world,vicon/slot_car/slot_car,0.5218814046311082,1.0432410169705748,0.022862177149869295,0.010106748944900141,0.01682679990806235,0.6555784760831801,0.7548718925268538
2024/03/03/22:07:45.146947,133038,1709521665,113153084,/vicon/world,vicon/slot_car/slot_car,0.521863983528345,1.0432492321603652,0.022845416111363235,0.010236172918579183,0.016640275780834705,0.6556077443124043,0.7548488640671852
2024/03/03/22:07:45.146961,133039,1709521665,121323784,/vicon/world,vicon/slot_car/slot_car,0.5218576797700861,1.0432514878087917,0.022840398988096092,0.010177251539042038,0.016690611386433366,0.6555815810648692,0.7548712722121199
2024/03/03/22:07:45.150878,133040,1709521665,130090384,/vicon/world,vicon/slot_car/slot_car,0.5218747061989051,1.043246534028547,0.022839202462686444,0.010171745842815253,0.016834144701008052,0.6555687949726097,0.7548792633374262
2024/03/03/22:07:45.159451,133041,1709521665,138492036,/vicon/world,vicon/slot_car/slot_car,0.5218705503609083,1.043290229190526,0.02295002792024723,0.012435367011305171,0.015240767335758522,0.6555935849166004,0.7548576899485835
2024/03/03/22:07:45.172881,133042,1709521665,146622236,/vicon/world,vicon/slot_car/slot_car,0.5218617319098667,1.0432945847351156,0.022956263063976638,0.012295615454626364,0.01520258422472824,0.6555785489733567,0.7548738075993034
2024/03/03/22:07:45.181392,133043,1709521665,155427223,/vicon/world,vicon/slot_car/slot_car,0.5218474324832089,1.0432955102248194,0.022960594140970413,0.01217610633633901,0.01506858020692322,0.6556571195529208,0.7548101893221901
2024/03/03/22:07:45.204918,133044,1709521665,162991556,/vicon/world,vicon/slot_car/slot_car,0.5218489155678985,1.043294730951605,0.02296688842601406,0.012466542017351733,0.014937334784449068,0.6555914816350273,0.7548650677884469
2024/03/03/22:07:45.205657,133045,1709521665,171859956,/vicon/world,vicon/slot_car/slot_car,0.5218553833823949,1.0432867522180096,0.02295650388520498,0.012296615740922312,0.015104332245637524,0.6555900912572514,0.7548657394755985
2024/03/03/22:07:45.206492,133046,1709521665,180210156,/vicon/world,vicon/slot_car/slot_car,0.5218661481942684,1.0432906424862907,0.022922728250267966,0.01247553419815643,0.0151928543760951,0.6556731590063057,0.7547888756341531
