time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2024/03/03/22:05:15.892062,116075,1709521515,849847837,/vicon/world,vicon/slot_car/slot_car,0.5214674406840286,1.036009490908574,0.02297799096125173,0.008234137413205379,0.01609905664443537,0.656802883555439,0.7538454692504825
2024/03/03/22:05:15.893235,116076,1709521515,859022536,/vicon/world,vicon/slot_car/slot_car,0.5214669196206199,1.0359751105466894,0.022873574306284217,0.0060785155333021295,0.017379272256399205,0.6567801605926891,0.7538573029404112
2024/03/03/22:05:15.893247,116077,1709521515,866986336,/vicon/world,vicon/slot_car/slot_car,0.5214460235718189,1.0360252926742322,0.02295807679299492,0.008094764290684774,0.015922047060817915,0.6567886600658034,0.7538631302945104
2024/03/03/22:05:15.897580,116078,1709521515,876204037,/vicon/world,vicon/slot_car/slot_car,0.5214589435594063,1.0360288617314806,0.02295304680249662,0.008255432406149552,0.01602503313692957,0.6567708141845446,0.7538747533802403
2024/03/03/22:05:15.905061,116079,1709521515,883726335,/vicon/world,vicon/slot_car/slot_car,0.5214583309011783,1.0360221329949009,0.022975761094171276,0.008242582945832997,0.016065609872907193,0.6568068649256508,0.7538426216342046
2024/03/03/22:05:15.917829,116080,1709521515,891696637,/vicon/world,vicon/slot_car/slot_car,0.5214613879644496,1.0360220446787733,0.022964454699392855,0.008382459966549136,0.01602185691352521,0.656771420094115,0.7538728912844069
2024/03/03/22:05:15.926164,116081,1709521515,900010438,/vicon/world,vicon/slot_car/slot_car,0.5214537893367794,1.036015967260765,0.022974046859623933,0.008412047552633566,0.016052651228941697,0.6567401694682219,0.7538991309527724
2024/03/03/22:05:15.934061,116082,1709521515,908303783,/vicon/world,vicon/slot_car/slot_car,0.5214632998395535,1.0360088543821189,0.022958848182820978,0.008348498402065264,0.01598643003920834,0.6568174495702154,0.7538339170991909
2024/03/03/22:05:15.950299,116083,1709521515,916428761,/vicon/world,vicon/slot_car/slot_car,0.5214595796201816,1.0359968629446021,0.02297367950522217,0.008289358581760336,0.016033560038446037,0.6567984813461716,0.753850095435531
2024/03/03/22:05:15.952799,116084,1709521515,926104761,/vicon/world,vicon/slot_car/slot_car,0.5214519957087153,1.036005697772604,0.02297486831273599,0.00818271286450131,0.015911962052639624,0.6568349251624558,0.7538220836249383
2024/03/03/22:05:15.960666,116085,1709521515,934634524,/vicon/world,vicon/slot_car/slot_car,0.5214507203648414,1.0359992265869489,0.022962308021583736,0.008344581722224203,0.01578900254799101,0.6568600535938702,0.7538009985049625
2024/03/03/22:05:15.967363,116086,1709521515,941586357,/vicon/world,vicon/slot_car/slot_car,0.5214620107027438,1.0359958935719085,0.02295707710406797,0.008308642262601236,0.01593003987751037,0.6568022002016659,0.7538488377012356
2024/03/03/22:05:15.976096,116087,1709521515,950035228,/vicon/world,vicon/slot_car/slot_car,0.5214680812441995,1.0359904748033424,0.02296363142565636,0.008384272904920755,0.0161338253414908,0.6567378957156326,0.7538996882733863
2024/03/03/22:05:16.017386,116088,1709521515,958412085,/vicon/world,vicon/slot_car/slot_car,0.5214904320662762,1.0359430245006256,0.02287416290664417,0.008032059716493756,0.014384811437433954,0.6572163638224789,0.7535218738302022
2024/03/03/22:05:16.017413,116089,1709521515,966558685,/vicon/world,vicon/slot_car/slot_car,0.5214668430404077,1.0359733677234981,0.022960842107811782,0.008304628887264643,0.016058515886804417,0.6568302528434389,0.7538217137733446
2024/03/03/22:05:16.018560,116090,1709521515,975525486,/vicon/world,vicon/slot_car/slot_car,0.5214914454398435,1.0359318816699115,0.022865712273064387,0.007856710657956645,0.014264190756331157,0.6572048476981491,0.753536059602828
2024/03/03/22:05:16.018723,116091,1709521515,983796585,/vicon/world,vicon/slot_car/slot_car,0.5214830613156961,1.0359334609377133,0.02288110738539161,0.007859074601236733,0.014296916923074854,0.6572010824801429,0.753538698607998
2024/03/03/22:05:16.018779,116092,1709521515,992287485,/vicon/world,vicon/slot_car/slot_car,0.5214549293191714,1.035983129870714,0.022974360865971554,0.008180582747485473,0.0158704537066772,0.6568444134382502,0.7538147141705426
2024/03/03/22:05:16.022318,116093,1709521516,1154786,/vicon/world,vicon/slot_car/slot_car,0.5214866818407958,1.0359371323367739,0.022859382160488217,0.007776489433866433,0.014401960544867408,0.6571554064043618,0.7535773892428481
2024/03/03/22:05:16.029601,116094,1709521516,8052473,/vicon/world,vicon/slot_car/slot_car,0.5214731165358963,1.035982124791338,0.02293974720033114,0.00845615302526339,0.016122617111819264,0.6567782728237033,0.7538639499539637
2024/03/03/22:05:16.050628,116095,1709521516,16675473,/vicon/world,vicon/slot_car/slot_car,0.5214648086979232,1.0359778483455477,0.022961499960687526,0.008443118342078138,0.015940075875334376,0.6568054553224546,0.7538442953239173
2024/03/03/22:05:16.051432,116096,1709521516,25140873,/vicon/world,vicon/slot_car/slot_car,0.5214619156206757,1.0359848755520056,0.022981165282204917,0.008196772176097883,0.015882468191283923,0.6568442646673854,0.7538144148950773
2024/03/03/22:05:16.059228,116097,1709521516,33389396,/vicon/world,vicon/slot_car/slot_car,0.5214600404946945,1.0359876041295717,0.02297324052766855,0.008335303631910207,0.015935985706134952,0.6567927558577118,0.7538566461375598
2024/03/03/22:05:16.067898,116098,1709521516,41820689,/vicon/world,vicon/slot_car/slot_car,0.5214560156459356,1.0359997924883138,0.02295770534879143,0.008185164363587617,0.015909893338496597,0.6567909851674765,0.7538603850720864
2024/03/03/22:05:16.075883,116099,1709521516,49973388,/vicon/world,vicon/slot_car/slot_car,0.5214529463292856,1.0360054012473614,0.022962714448562245,0.008296930122055082,0.015736239752244273,0.6568119682605336,0.7538445264500722
2024/03/03/22:05:16.084529,116100,1709521516,58253919,/vicon/world,vicon/slot_car/slot_car,0.5214672464892219,1.0360039791029785,0.02294657777585773,0.00833852800571866,0.016053741080213912,0.6567913442126982,0.7538553419027448
2024/03/03/22:05:16.093430,116101,1709521516,67507456,/vicon/world,vicon/slot_car/slot_car,0.5214769405931461,1.0360042029300804,0.022953561740284494,0.00829889999026843,0.016084832435174015,0.6567605595461214,0.7538819362799121
2024/03/03/22:05:16.101166,116102,1709521516,74982656,/vicon/world,vicon/slot_car/slot_car,0.5214736273330416,1.036011351282402,0.022954296754859157,0.00831551502294761,0.01606800833440685,0.65675809644042,0.753884257746522
